"Sl. No.",State,"Cumulative Plantation of 3 Years (2015-16 to 2017-18)","Plantation in 2018-19","Plantation in 2019-20","Plantation in 2020-21 - Avenue","Plantation in 2020-21 - Median","Plantation in 2020-21 - Total","Plantation in 2021-22 - Avenue","Plantation in 2021-22 - Median","Plantation in 2021-22 - Total","Plantation in 2022-23 - Avenue","Plantation in 2022-23 - Median","Plantation in 2022-23 - Total","Plantation in 2023-24 - Avenue","Plantation in 2023-24 - Median","Plantation in 2023-24 - Total","Plantation in 2024-25 - Avenue","Plantation in 2024-25 - Median","Plantation in 2024-25 - Total","Total Plantation Progress (2015-16 to 2023-24) - Total"
1,"Andhra Pradesh",6.34,1.47,4.8,1.22,1.79,3.01,0.5,1.17,1.67,0.58,1,1.58,0.58,0.55,1.14,0.89,1.22,2.11,22.12
2,Assam,1.01,0.73,0.04,0.92,1.54,2.46,1.01,0.72,1.73,0.45,0.44,0.89,0.22,0.63,0.85,0.16,0.11,0.27,7.98
3,Bihar,1.62,0.64,0.93,0.68,0.04,0.72,1.07,0.96,2.03,0.65,1.47,2.12,1.15,1.23,2.38,1.72,1.57,3.29,13.73
4,Chhattisgarh,2.02,0.86,0.54,0.84,0.34,1.18,0.7,0.31,1.02,0.88,0.44,1.33,0.86,0.31,1.17,0.47,0.53,0.99,9.11
5,Delhi,0.5,5.5,0.02,1.33,0.8,2.13,2.8,6.71,9.5,2.18,1.26,3.44,2.47,1.13,3.6,7.45,1.5,8.95,33.65
6,Gujarat,4.96,0.65,1.06,1.2,1.58,2.78,0.58,1.8,2.38,2.41,2.1,4.51,1.61,2.08,3.69,1.92,2.94,4.86,24.88
7,Haryana,6.46,4.25,0.28,0.61,1.91,2.52,1,0.59,1.59,0.93,1.27,2.19,1.13,1.85,2.98,1.07,4.52,5.59,25.87
8,"Himachal Pradesh",0.16,0.08,0.23,0.42,0.26,0.68,0.47,0.25,0.71,0.35,0.47,0.82,0.21,0.11,0.32,0.39,0.22,0.61,3.61
9,"Jammu and Kashmir",0.41,0.38,0.06,0.01,0.12,0.13,0.11,0.31,0.42,0.2,0.66,0.86,0.41,0.36,0.76,0.7,0.11,0.8,3.82
10,Jharkhand,1.32,0.86,0.26,0.5,0.65,1.16,1.32,1.21,2.53,0.77,0.3,1.07,0.57,0.36,0.92,0.32,0.69,1.01,9.13
